20163006	fsssa.com	2006-04-22 23:33:31		
20163006	indianafamily	2006-04-22 23:36:54		
20163006	indianadepartmentofchildservices.com	2006-04-22 23:38:42		
20163006	acessindiana	2006-04-22 23:39:08	6	http://www.ai.org
20163006	classmate .com	2006-04-23 00:48:11		
20163006	clubpogo	2006-04-23 22:31:59		
20163006	mushrooms	2006-04-23 22:32:14	1	http://www.mykoweb.com
20163006	mushrooms	2006-04-23 22:32:14	8	http://ohioline.osu.edu
20163006	indiana poisious mushrooms	2006-04-23 22:47:03		
20163006	indiana poisious mushrooms	2006-04-23 22:47:05		
20163006	indiana poisious mushrooms	2006-04-23 22:47:06		
20163006	how to kill poisionus mushrooms	2006-04-23 22:48:06	1	http://faqs.neoseeker.com
20163006	how to kill poisionus mushrooms	2006-04-23 22:48:06	2	http://www.xanga.com
20163006	poisionus mushrooms	2006-04-23 22:49:44		
20163006	aol screen names	2006-04-26 15:29:07	2	http://www.askdavetaylor.com
20163006	im help	2006-05-02 11:31:34		
20163006	suduku quest	2006-05-06 23:55:21		
20163006	suduku quest	2006-05-07 00:03:23	5	http://www.1000apps.com
20163006	clubpogo	2006-05-09 01:48:16		
